doc,topic1,topic2,topic3,topic4,topic5,topic6,catogory
185,0.467899367,0.038597836,0.311800933,0.066797534,0.070387728,0.044516602,2
186,0.207147518,0.038597836,0.311800933,0.066797534,0.331139576,0.044516602,0
187,0.555376601,0.009347936,0.01236348,0.016177567,0.395953024,0.010781391,2
188,0.173776637,0.006779241,0.054764049,0.011732176,0.01236275,0.740585147,3
189,0.821657493,0.025368217,0.033551732,0.043902314,0.04626195,0.029258294,4
190,0.627077425,0.013661679,0.202654689,0.023642944,0.024913691,0.108049572,0
191,0.316287918,0.129939657,0.135344409,0.368551133,0.030553422,0.019323461,1
192,0.207147518,0.038597836,0.051049085,0.327549382,0.070387728,0.305268451,4
193,0.563381856,0.010699276,0.303271205,0.090796314,0.019511398,0.012339951,4
194,0.053550424,0.009978061,0.013196876,0.826162455,0.085604042,0.011508141,4
195,0.182451684,0.015050758,0.019905971,0.026046888,0.739185989,0.017358709,5
196,0.728651216,0.038597836,0.051049085,0.066797534,0.070387728,0.044516602,1
197,0.901390186,0.004800547,0.006349152,0.073169065,0.008754366,0.005536684,1
198,0.316287918,0.016754284,0.022159036,0.481736506,0.143738794,0.019323461,4
199,0.217717963,0.479002303,0.015253255,0.097870398,0.176854705,0.013301376,2
200,0.728651216,0.038597836,0.051049085,0.066797534,0.070387728,0.044516602,0
201,0.356968224,0.006779241,0.008966152,0.011732176,0.607735407,0.007818801,5
202,0.718581809,0.007872079,0.261910788,0.008613654,0.001851005,0.001170665,1
203,0.116272028,0.444426543,0.003928489,0.005140413,0.426806746,0.003425781,2
204,0.728651216,0.038597836,0.051049085,0.066797534,0.070387728,0.044516602,2
205,0.36728579,0.004249315,0.005620099,0.122180709,0.237402792,0.263261294,5
206,0.374101275,0.151092657,0.393364596,0.012295274,0.060952126,0.008194072,0
207,0.217717963,0.011532874,0.171076398,0.487428256,0.021031561,0.091212948,4
208,0.188366157,0.009978061,0.013196876,0.623938857,0.153011908,0.011508141,4
209,0.324889443,0.008299671,0.010977056,0.014363437,0.631898013,0.00957238,5
